length;mse;model
5;3.0833764699656885;(4.248875 + (0.892851 * ((-0.723494) * X2)))
6;1.408025879816732;(2.370496 + (452.889862 * ((0.037836 * X1) ^ 2)))
8;0.05517782919232127;(2.328708 + (0.918203 * (((0.846559 * X1) ^ 2) + ((-0.727798) * X2))))
10;0.0008979113126707774;(2.331208 + (0.914443 * ((((0.849230 * X1) ^ 2) + ((-0.737988) * X2)) + (0.149706 * X1))))
11;0.0008907860546820476;(1.433493 + (0.898110 * ((((-0.751571) * X2) + ((0.850195 * X1) ^ 2)) + exp((0.149706 * X1)))))
13;0.0008579671878921525;(0.000042 + (0.999991 * ((((-0.674517) * X2) + ((0.817931 * X1) ^ 2)) + log((10.280260 + (1.360709 * X1))))))
14;0.0008084921470910602;(0.000191 + (0.999964 * ((((-0.674341) * X2) + ((0.819911 * X1) ^ 2)) + sqrt(sqrt((29.406542 + (6.474593 * X1)))))))
