length;mse;model
8;99682960.72661392;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8501954675 * X1) ^ 2)))
7;inf;((((-0.7515706420) * X2) + ((0.8501954675 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;99231156.77766618;((((-0.7398599982) * X2) + ((0.8492302299 * X1) ^ 2)) + (0.1497063190 * X1))
4;92607195.93528433;(((0.8348203301 * X1) ^ 2) + ((-0.7029926181) * X2))
2;14.634130189024178;exp(((-0.0769356489) * X2))
3;inf;exp((((-0.4121567011) * X1) ^ 2))
10;inf;((((-0.6745961308) * X2) + ((0.8068465590 * X1) ^ 2)) + exp(((-0.1537133306) + exp((0.0577604175 * X1)))))
1;4.411632416503406;4.0109357834
9;1.6721348759479543e+31;((((-0.6746463180) * X2) + ((0.8096993566 * X1) ^ 2)) + exp((0.8466830850 + (0.0583444946 * X1))))
8;99650581.70192862;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8501264453 * X1) ^ 2)))
7;inf;((((-0.7515706420) * X2) + ((0.8501264453 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;99231865.55074486;((((0.8492302299 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1514078081 * X1))
4;99324539.76517844;(((0.8495633602 * X1) ^ 2) + ((-0.7277979851) * X2))
2;14.646312645965109;exp(((-0.0745804980) * X2))
3;inf;exp(((0.4124250114 * X1) ^ 2))
10;82999511.8819386;((2.3239717484 + ((-0.6746169329) * X2)) + ((0.0841323361 + ((0.8121396899 * X1) + ((-0.0003911811) * X2))) ^ 2))
1;7.57087695622904;2.4668881893
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((0.8501954675 * X1) ^ 2) + ((-0.6898831129) * X2)))
8;99231156.77660759;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7515706420) * X2) + ((0.8495633602 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;99651291.9713496;((((0.8501264453 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1514078081 * X1))
4;99324539.76892419;(((0.8495633602 * X1) ^ 2) + ((-0.7379882336) * X2))
2;14.524285358568857;exp(((-0.0974678844) * X2))
3;inf;exp((((-0.4152678847) * X1) ^ 2))
10;1.9152000400913136e+31;((0.7897376418 ^ ((-3.5850200653) + ((-0.2476031035) * X1))) + (((0.8096902370 * X1) ^ 2) + ((-0.6746462584) * X2)))
1;4.387444543094713;4.0649209023
9;inf;((exp((0.1497063190 * X1)) + ((-0.0492403135) * X2)) + (((0.8472660184 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99386911.41708788;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8495633602 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8495633602 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;101587213.53521185;((((-0.7489578724) * X2) + ((0.8542266488 * X1) ^ 2)) + (0.1514078081 * X1))
4;99168834.02825882;(((0.8492302299 * X1) ^ 2) + ((-0.7379882336) * X2))
2;14.51680586754856;exp(((-0.0988228023) * X2))
3;inf;exp((((-0.4187638462) * X1) ^ 2))
10;1.915192669739825e+31;((0.7897376418 ^ ((-3.5850200653) + ((-0.2476030886) * X1))) + ((((-0.8099093437) * X1) ^ 2) + ((-0.6746463180) * X2)))
1;5.507275391912957;5.3383588791
9;inf;((exp((0.1497063190 * X1)) + ((-0.0492403135) * X2)) + (((0.8469730616 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99231156.77739887;(((0.1497063190 * X1) + ((-0.0492403135) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6898831129) * X2)))
6;99387620.74792774;((((-0.7398599982) * X2) + ((0.8495633602 * X1) ^ 2)) + (0.1514078081 * X1))
4;99588127.3603623;(((-0.7398599982) * X2) + ((0.8501264453 * X1) ^ 2))
3;inf;exp((((-0.4209182560) * X1) ^ 2))
2;14.667031722517361;exp(((-0.0705365539) * X2))
10;1.915192669739825e+31;((0.7897376418 ^ ((-3.5850200653) + ((-0.2476030886) * X1))) + ((((-0.8099093437) * X1) ^ 2) + ((-0.6745843291) * X2)))
1;5.978289073527276;2.9853682518
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + (((0.8473305702 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99386911.41812299;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8495633602 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8473305702 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99231865.55141681;((((-0.7398599982) * X2) + ((0.8492302299 * X1) ^ 2)) + (0.1514078081 * X1))
4;99324539.76968068;(((-0.7398599982) * X2) + ((0.8495633602 * X1) ^ 2))
2;14.497540863713562;exp(((-0.1022889912) * X2))
3;inf;exp(((0.4213190973 * X1) ^ 2))
10;100459748.5198023;(((((-0.8103011250) * X1) ^ 2) + ((-0.6746540666) * X2)) + (((1.2356103659 + (0.0180882774 * X1)) ^ 2) ^ 2))
1;7.025243288006003;5.8979897499
9;83002716.98487684;(((((-0.3293634653) * X1) * ((-2.0026054382) * X1)) + (2.3309178352 + (0.1366426945 * X1))) + ((-0.6746587753) * X2))
8;99650581.70231017;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((0.8501264453 * X1) ^ 2) + ((-0.6898831129) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8472660184 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;101586496.39913756;((((-0.7489578724) * X2) + ((0.8542266488 * X1) ^ 2)) + (0.1497063190 * X1))
4;99168834.02901527;(((-0.7398599982) * X2) + ((0.8492302299 * X1) ^ 2))
2;14.48467180004431;exp(((-0.1045857519) * X2))
3;inf;exp((((-0.4221243262) * X1) ^ 2))
10;1.2166664178181102e+31;((0.5553449392 ^ ((-1.4394787550) + ((-0.0987883508) * X1))) + (((-0.6746466756) * X2) + (((-0.8097302318) * X1) ^ 2)))
1;5.556295260530096;3.1630105972
9;inf;((2.3309981823 ^ exp((0.0680632144 * X1))) + (((0.8079563379 * X1) ^ 2) + ((-0.6745843291) * X2)))
8;99683671.11206622;(((0.1514078081 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8501954675 * X1) ^ 2)))
7;inf;((((-0.7515706420) * X2) + ((0.8492302299 * X1) ^ 2)) + exp((0.1514078081 * X1)))
