length;mse;model
1;8.64550366219689e+73;(1.3441931009 * X2)
19;inf;(((-0.2488151491) + ((((((0.1020398438 * X1) * (1.7166023254 * X1)) + ((0.5473098755 * X2) ^ 1.1479361057)) + ((-0.0189942438) * X1)) ^ exp(((-0.2489020824) * X2))) * exp((0.1399796456 * X2)))) * 2.2636067867)
18;nan;(((-0.7713279724) + (((((((-0.2400801629) * X1) * ((-0.6180288196) * X1)) + (0.3973407447 * X2)) + ((-0.0161875822) * X1)) ^ exp(((-0.2354398370) * X2))) * exp(exp((0.0586685129 * X2))))) + (0.3673308790 * X2))
17;inf;(((-0.2291385084) + ((((((0.0896003321 * X1) * (1.4416373968 * X1)) + (0.3823102713 * X2)) + ((-0.0141435992) * X1)) ^ exp(((-0.2787972689) * X2))) * exp((0.1183817014 * X2)))) * 3.0504574776)
8;inf;((((2.6552436352 * X1) * (0.1557947844 * X1)) * exp(((-0.2656055987) * X2))) + (1.1579173803 * X2))
6;inf;log(abs((((1.9635996819 * X1) * (4.5071253777 * X1)) + (34.5294418335 * X2))))
4;inf;(log(abs(((-7.5497078896) * X1))) + (0.8020051718 * X2))
3;2.290425331727086;((4.8027577400 * X2) ^ 0.5951720476)
15;nan;((-0.2514906228) * ((((((1.8607141972 * X1) * (0.0738132000 * X1)) + (0.4251071513 * X2)) + ((-0.0150047084) * X1)) ^ exp(((-0.2725436091) * X2))) * exp((0.1241745949 * X2))))
14;inf;(((0.8292188048 * X2) + (-0.8792264462)) + (((((4.4072527885 * X1) * (0.0937289074 * X1)) + ((-0.0439915806) * X1)) + (1.1622881889 * X2)) ^ exp(((-0.1263804734) * X2))))
9;nan;((((4.4557456970 * X1) * (0.0701707080 * X1)) * exp(((-0.3426546454) * X2))) + sqrt((7.8712048531 * X2)))
5;inf;(((3.7033092976 * X1) * (0.0572309531 * X1)) + (0.9301556349 * X2))
2;nan;sqrt((0.6141098738 * X2))
