length;mse;model
12;inf;((((((2.6552436352 * X1) * (0.1555672735 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8288236856 * X2)) + (-0.8822721839))
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.7611940503 * X2))
20;inf;((((-0.4707631767) + ((((((0.0825628266 * X1) * (1.4416373968 * X1)) + (0.4647643268 * X2)) + ((-0.0128559005) * X1)) ^ exp(((-0.2651897967) * X2))) * exp((0.1159571782 * X2)))) * 3.2791142464) + exp(((-0.7710685730) * X2)))
1;3.7483741769083977e+73;(0.8849584460 * X2)
19;inf;(((-0.2484890521) + ((((((0.1045612991 * X1) * (1.6676638126 * X1)) + ((0.5469400883 * X2) ^ 1.1496925354)) + ((-0.0189040396) * X1)) ^ exp(((-0.2484784275) * X2))) * exp((0.1401076615 * X2)))) * 2.2511568069)
18;nan;(((-0.7713279724) + (((((((-0.2403300703) * X1) * ((-0.6180288196) * X1)) + (0.3977007270 * X2)) + ((-0.0162043050) * X1)) ^ exp(((-0.2353083938) * X2))) * exp(exp((0.0586331449 * X2))))) + (0.3673308790 * X2))
17;inf;(((-0.2287095338) + ((((((1.7814855576 * X1) * (0.0724379420 * X1)) + (0.3816504478 * X2)) + ((-0.0141282510) * X1)) ^ exp(((-0.2788367569) * X2))) * exp((0.1183171570 * X2)))) * 3.0519330502)
2;nan;sqrt((13.5544357300 * X2))
9;inf;(((((-0.0058122952) * X1) * ((-50.2934455872) * X1)) * exp(((-0.3359932005) * X2))) + sqrt((6.2326984406 * X2)))
8;inf;((((2.5741376877 * X1) * (0.1608899236 * X1)) * exp(((-0.2593495548) * X2))) + (1.1579173803 * X2))
5;inf;((((-0.0053803921) * X1) * ((-37.5862922668) * X1)) + (0.8893810511 * X2))
4;inf;(log(abs(((-8.4818820953) * X1))) + (0.7917124033 * X2))
15;inf;((-0.2514906228) * ((((((1.8607141972 * X1) * (0.0738132000 * X1)) + (0.4251071513 * X2)) + ((-0.0150047084) * X1)) ^ exp(((-0.2715805173) * X2))) * exp((0.1241745949 * X2))))
14;nan;(((0.8292663097 * X2) + (-0.8800572157)) + ((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + ((-0.0439435020) * X1)) + (1.1645883322 * X2)) ^ exp(((-0.1263796091) * X2))))
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1262806505) * X2))) + (0.7611940503 * X2))
6;inf;log(abs((((1.7105311155 * X1) * (5.5557599068 * X1)) + (36.6115608215 * X2))))
3;2.27115065359094;((5.0541720390 * X2) ^ 0.5805260539)
13;nan;((((((2.6552436352 * X1) * (0.1555672735 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
12;inf;((((((2.5460271835 * X1) * (0.1622206718 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8288236856 * X2)) + (-0.8822721839))
20;nan;(((-1.2665054798) + ((((((((-0.0037824807) * X1) * ((-38.2188339233) * X1)) + (0.4080800116 * X2)) + ((-0.0189279821) * X1)) ^ exp(((-0.2441780269) * X2))) + exp((0.0013309246 * X1))) * exp((0.0819082335 * X2)))) * 2.7590715885)
1;4.500671768263327;(1.1914896965 * X2)
19;nan;(((-0.7715002894) + (((((((-0.0077815242) * X1) * ((-51.5665626526) * X1)) + (1.0539654493 * X2)) + ((-0.0437524505) * X1)) ^ exp(((-0.2312918156) * X2))) * (exp((0.1173575744 * X2)) + (0.1788431704 * X2)))) + (0.4039806724 * X2))
18;nan;(((-0.7713279724) + (((((((-0.2400801629) * X1) * ((-0.6180288196) * X1)) + (0.3973407447 * X2)) + ((-0.0161875822) * X1)) ^ exp(((-0.2326455116) * X2))) * exp(exp((0.0586685129 * X2))))) + (0.3673308790 * X2))
17;nan;(((-0.2294493914) + ((((((0.1120445505 * X1) * (1.1523921490 * X1)) + (0.3825093806 * X2)) + ((-0.0141252186) * X1)) ^ exp(((-0.2787972689) * X2))) * exp((0.1184000745 * X2)))) * 3.0462181568)
3;2.251758498026844;((5.2361707687 * X2) ^ 0.5739286542)
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1249003112) * X2))) + (0.7611940503 * X2))
9;inf;(((((-0.0058122952) * X1) * ((-50.2934455872) * X1)) * exp(((-0.3356759846) * X2))) + sqrt((6.2326984406 * X2)))
6;inf;log(abs((((1.5400243998 * X1) * (5.8656582832 * X1)) + (34.5294418335 * X2))))
5;inf;(((3.7033092976 * X1) * (0.0572309531 * X1)) + (0.9227712154 * X2))
16;nan;(((((((1.8607141972 * X1) * (0.0738132000 * X1)) + (0.4251071513 * X2)) + ((-0.0150047084) * X1)) ^ exp(((-0.2715805173) * X2))) * exp((0.1241745949 * X2))) * log(abs(0.4158256948)))
15;inf;((-0.2514906228) * ((((((1.8607141972 * X1) * (0.0738132000 * X1)) + (0.4251071513 * X2)) + ((-0.0141435992) * X1)) ^ exp(((-0.2715805173) * X2))) * exp((0.1241745949 * X2))))
12;nan;(((0.8292571902 * X2) + (-0.8801762462)) + ((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1263804734) * X2))))
8;inf;((((2.6552436352 * X1) * (0.1557947844 * X1)) * exp(((-0.2725436091) * X2))) + (1.1579173803 * X2))
4;inf;(log(abs((12.6498889923 * X1))) + (0.8247305155 * X2))
14;nan;((((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + ((-0.0439435020) * X1)) + (1.1632953882 * X2)) ^ exp(((-0.1262714714) * X2))) + (0.8288236856 * X2)) + (-0.8822721839))
13;nan;((((((2.5460271835 * X1) * (0.1622206718 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
20;inf;(((-0.2350695133) + (((((((3.5051095486 * X1) * (0.0387683101 * X1)) * exp(((-0.0320020765) * X2))) + (0.4145725667 * X2)) + ((-0.0138543965) * X1)) ^ exp(((-0.2545069158) * X2))) * exp((0.1183845401 * X2)))) * 2.9267535210)
1;4.475780204833601e+72;(0.3057975769 * X1)
19;nan;(((-0.3301007748) + (((((((-0.0088742003) * X1) * ((-19.8847084045) * X1)) + (0.5477563739 * X2)) + ((-0.0193309356) * X1)) ^ exp(((-0.2667026222) * X2))) * exp((0.2210862488 * X2)))) * (((-0.1338430345) * X2) + 2.2734394073))
18;nan;(((-0.7565377355) + (((((((-0.0122631676) * X1) * ((-48.5709495544) * X1)) + (1.3599040508 * X2)) + ((-0.0646377578) * X1)) ^ exp(((-0.2062847018) * X2))) * (0.6709119081 + (0.2184122801 * X2)))) + (0.6140739322 * X2))
17;inf;(((-0.2337648124) + ((((((0.1058063805 * X1) * (1.2332706451 * X1)) + (0.3890962303 * X2)) + ((-0.0142369978) * X1)) ^ exp(((-0.2777215838) * X2))) * exp((0.1192830503 * X2)))) * 3.0202383995)
2;inf;log(abs((88.7080764771 * X2)))
3;2.3516677233540233;((5.0345816612 * X2) ^ 0.5699662566)
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1262806505) * X2))) + (0.7674436569 * X2))
9;inf;((((4.4557456970 * X1) * (0.0701707080 * X1)) * exp(((-0.3471885324) * X2))) + sqrt((7.8712048531 * X2)))
6;inf;log(abs((((1.5400243998 * X1) * (5.8656582832 * X1)) + (34.4458770752 * X2))))
5;inf;((((-2.1148412228) * X1) * ((-0.0964227021) * X1)) + (0.8826169372 * X2))
16;nan;(((((((1.8607141972 * X1) * (0.0738132000 * X1)) + (0.4251071513 * X2)) + ((-0.0141435992) * X1)) ^ exp(((-0.2715805173) * X2))) * exp((0.1241745949 * X2))) * log(abs(0.4158256948)))
15;nan;(((0.3509498835 * X2) + ((((((-0.0056625190) * X1) * ((-34.5855598450) * X1)) + (0.4575761855 * X2)) + ((-0.0211199503) * X1)) ^ exp(((-0.1750766784) * X2)))) * log(abs(0.4158256948)))
12;nan;((((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1263804734) * X2))) + (0.8296596408 * X2)) + (-0.8822721839))
8;inf;((((3.9312982559 * X1) * (0.1050748155 * X1)) * exp(((-0.2725436091) * X2))) + (1.1579173803 * X2))
4;inf;(log(abs((12.6498889923 * X1))) + (0.7812397480 * X2))
14;inf;(((0.8292188048 * X2) + (-0.8792264462)) + (((((4.4072527885 * X1) * (0.0937289074 * X1)) + ((-0.0439915806) * X1)) + (1.1622881889 * X2)) ^ exp(((-0.1262511313) * X2))))
13;nan;((((((2.6552436352 * X1) * (0.1555672735 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8291514516 * X2)) + log(abs(0.4148054719)))
20;nan;((log(abs(0.4623140693)) + (((((((-0.0077815298) * X1) * ((-51.5665626526) * X1)) + (1.0539884567 * X2)) + ((-0.0437524430) * X1)) ^ exp(((-0.2312921435) * X2))) * (exp((0.1173637286 * X2)) + (0.1788382232 * X2)))) + (0.4039667845 * X2))
1;4.239784252162649;4.7343592644
19;nan;(((-0.3221312463) + (((((((-0.2377632558) * X1) * ((-0.7273356915) * X1)) + (0.5338566899 * X2)) + ((-0.0189418141) * X1)) ^ exp(((-0.2675908208) * X2))) * exp((0.2172153145 * X2)))) * (((-0.1337255836) * X2) + 2.3168406487))
18;nan;(((-0.7562456727) + (((((((-0.0123084262) * X1) * ((-47.5108718872) * X1)) + (1.3358719349 * X2)) + ((-0.0634705052) * X1)) ^ exp(((-0.2070211023) * X2))) * ((0.2207655460 * X2) + 0.6834504604))) + (0.6105742455 * X2))
17;inf;(((-0.2361470312) + ((((((0.0990783125 * X1) * (1.3316384554 * X1)) + (0.3950251043 * X2)) + ((-0.0143003110) * X1)) ^ exp(((-0.2764954567) * X2))) * exp((0.1202840433 * X2)))) * 2.9876635075)
2;inf;log(abs((88.7094497681 * X2)))
3;2.5034407047793006;((4.9511680603 * X2) ^ 0.5617383718)
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.7703855038 * X2))
9;inf;((((4.4557456970 * X1) * (0.0701707080 * X1)) * exp(((-0.3407581151) * X2))) + sqrt((6.9957585335 * X2)))
6;inf;log(abs((((1.9945907593 * X1) * (4.6931281090 * X1)) + (37.1593093872 * X2))))
5;inf;((0.9094204903 * X2) + (((-0.0070486334) * X1) * ((-28.9302864075) * X1)))
16;nan;(((0.1717894673 * X2) ^ ((4.1967525482 * X2) ^ 0.0678163394)) + (((((1.9423967600 * X1) * (0.0622628853 * X1)) + (0.3106453121 * X2)) + ((-0.0130681926) * X1)) ^ exp(((-0.2094407976) * X2))))
15;nan;((((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + ((-0.0439435020) * X1)) + (1.1645883322 * X2)) ^ exp(((-0.1263804734) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
12;nan;(((0.8289602399 * X2) + (-0.8795073032)) + ((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1263804734) * X2))))
8;inf;(((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) * exp(((-0.2725436091) * X2))) + (1.1238536835 * X2))
4;inf;(log(abs(((-4.1705036163) * X1))) + (0.7792096138 * X2))
14;nan;(((((((0.4700511694 * X1) * (0.8788001537 * X1)) + (1.1632808447 * X2)) + ((-0.0440142192) * X1)) ^ exp(((-0.1262719631) * X2))) + (0.8296596408 * X2)) + (-0.8822721839))
13;nan;(log(abs(0.4138478935)) + (((((1.4426950216 * X1) * (0.2867350876 * X1)) + (1.1645883322 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.8296557665 * X2)))
20;nan;((log(abs(0.7187896967)) + (((((((-0.0088757221) * X1) * ((-19.8847084045) * X1)) + (0.5478835106 * X2)) + ((-0.0193333589) * X1)) ^ exp(((-0.2666915655) * X2))) * exp((0.2211136371 * X2)))) * (((-0.1338355690) * X2) + 2.2730617523))
1;3.6396045881297594;5.7236595154
19;inf;(((-0.3043845296) + ((((((0.2472857982 * X1) * (0.6668021083 * X1)) + (0.5033401251 * X2)) + ((-0.0180615038) * X1)) ^ exp(((-0.2695392072) * X2))) * exp((0.2071786374 * X2)))) * (((-0.1316326857) * X2) + 2.4242467880))
18;nan;(((-0.7561292648) + ((((((1.9818053246 * X1) * (0.2919962704 * X1)) + (1.3225997686 * X2)) + ((-0.0628175363) * X1)) ^ exp(((-0.2074130476) * X2))) * (0.6909233928 + (0.2220273018 * X2)))) + (0.6086237431 * X2))
17;inf;(((-0.2337648124) + ((((((0.1058063805 * X1) * (1.2332706451 * X1)) + (0.3890962303 * X2)) + ((-0.0142369978) * X1)) ^ exp(((-0.2763275504) * X2))) * exp((0.1192830503 * X2)))) * 3.0202383995)
2;inf;log(abs((88.7089843750 * X2)))
3;2.5160541647360515;((3.7629599571 * X2) ^ 0.6313761473)
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1238009185) * X2))) + (0.7674436569 * X2))
9;inf;((((0.2293935418 * X1) * (1.1306450367 * X1)) * exp(((-0.2889309525) * X2))) + sqrt((6.2326984406 * X2)))
6;inf;log(abs((((1.5400243998 * X1) * (5.8656582832 * X1)) + (35.9728355408 * X2))))
5;inf;(((2.5460271835 * X1) * (0.0704310462 * X1)) + (0.8020051718 * X2))
16;nan;(((((((0.1121337563 * X1) * (1.2974212170 * X1)) + (0.4682447612 * X2)) + ((-0.0158827640) * X1)) ^ exp(((-0.2656055987) * X2))) * exp((0.1294449568 * X2))) * log(abs(0.4158256948)))
15;nan;((((((((-0.0109901940) * X1) * ((-37.5862922668) * X1)) + (1.1633005142 * X2)) + ((-0.0440151840) * X1)) ^ exp(((-0.1263804734) * X2))) + (0.8292583227 * X2)) + log(abs(0.4147703350)))
12;nan;(((0.8291350007 * X2) + (-0.8800004125)) + ((((2.6552436352 * X1) * (0.1555672735 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1263796091) * X2))))
8;inf;(((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) * exp(((-0.2679134011) * X2))) + (1.1238536835 * X2))
4;inf;(log(abs(((-7.5497078896) * X1))) + (0.8392431140 * X2))
14;inf;(((0.8292188048 * X2) + (-0.8792264462)) + (((((4.4072527885 * X1) * (0.0937289074 * X1)) + ((-0.0439915806) * X1)) + (1.1622881889 * X2)) ^ exp(((-0.1261365265) * X2))))
13;nan;((((((3.9312982559 * X1) * (0.1050748155 * X1)) + (1.1632953882 * X2)) ^ exp(((-0.1264788657) * X2))) + (0.8292583227 * X2)) + log(abs(0.4147703350)))
20;nan;(((-0.7715976238) + (((((((-0.0041651567) * X1) * ((-34.4231071472) * X1)) + (0.3843682110 * X2)) + ((-0.0156428553) * X1)) ^ exp(((-0.2354761958) * X2))) * (exp((0.1439390332 * X2)) + exp(0.5947070718)))) + (0.3663296103 * X2))
1;5.581204857275878;6.9388303757
19;nan;(((-0.3466298282) + (((((((-0.0090626907) * X1) * ((-20.3068580627) * X1)) + (0.5766779184 * X2)) + ((-0.0201088600) * X1)) ^ exp(((-0.2641851306) * X2))) * exp((0.2292779684 * X2)))) * (((-0.1332840174) * X2) + 2.1795394421))
18;nan;(((-0.7563935518) + ((((((2.7718851566 * X1) * (0.2117785960 * X1)) + (1.3408374786 * X2)) + ((-0.0637033284) * X1)) ^ exp(((-0.2068343163) * X2))) * ((0.2201861888 * X2) + 0.6805432439))) + (0.6113998890 * X2))
17;inf;(((-0.2347148657) + ((((((1.7500783205 * X1) * (0.0755811259 * X1)) + (0.3953198493 * X2)) + ((-0.0143096372) * X1)) ^ exp(((-0.2760373056) * X2))) * exp((0.1208073422 * X2)))) * 2.9703521729)
3;nan;((3.7842831612 * X2) ^ 0.6357811093)
4;inf;(log(abs((12.6498889923 * X1))) + (0.7711994648 * X2))
2;inf;log(abs(((-88.6790618896) * X2)))
11;inf;(((((2.5741376877 * X1) * (0.1632405519 * X1)) * exp(((-0.3396377861) * X2))) + sqrt((13.5543375015 * X2))) + (-2.3872132301))
10;inf;(((((0.1729944944 * X1) * (2.0994572639 * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.7703855038 * X2))
8;inf;((((2.6552436352 * X1) * (0.1557947844 * X1)) * exp(((-0.2545078099) * X2))) + (1.1579173803 * X2))
6;inf;log(abs((((1.5400243998 * X1) * (5.8656582832 * X1)) + (36.2153663635 * X2))))
16;inf;(((0.8392431140 * X2) + (-1.0247366428)) + (((exp((log(abs((0.6921457648 * X1))) * 1.8749878407)) + ((-0.0439453125) * X1)) + (1.2040598392 * X2)) ^ exp(((-0.1247132123) * X2))))
15;nan;((((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + ((-0.0439435020) * X1)) + (1.1645883322 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.8292583227 * X2)) + log(abs(0.4147703350)))
12;nan;(((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + (1.1606981754 * X2)) ^ exp(((-0.1262714714) * X2))) + (0.8288236856 * X2)) + (-0.8822721839))
9;nan;(sqrt((6.2326984406 * X2)) + (((1.5400243998 * X1) * (0.1684971005 * X1)) * exp(((-0.2883081734) * X2))))
5;inf;((((-0.0053803921) * X1) * ((-37.9011573792) * X1)) + (0.9143790007 * X2))
14;nan;(((0.8292188048 * X2) + (-0.8792264462)) + (((((2.3587484360 * X1) * (0.1756648123 * X1)) + ((-0.0439915806) * X1)) + (1.1622881889 * X2)) ^ exp(((-0.1263804734) * X2))))
13;inf;((((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1263804734) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
20;nan;((((-0.7722038627) + (((((((-0.2403300703) * X1) * ((-0.6180288196) * X1)) + (0.3977007270 * X2)) + ((-0.0162043050) * X1)) ^ exp(((-0.2353083938) * X2))) * exp(exp((0.0586331449 * X2))))) * 0.9990066886) + (0.3681209385 * X2))
1;4.166764958406177;6.2831854820
19;nan;(((-0.2936314046) + ((((((0.2357276827 * X1) * (0.6750187874 * X1)) + (0.4864770174 * X2)) + ((-0.0174203217) * X1)) ^ exp(((-0.2695775330) * X2))) * exp((0.1961327642 * X2)))) * (((-0.1239018291) * X2) + 2.5062711239))
18;nan;(((-0.7566085458) + (((((((-0.0061409902) * X1) * ((-96.8645706177) * X1)) + (1.3580051661 * X2)) + ((-0.0645392612) * X1)) ^ exp(((-0.2063049823) * X2))) * (0.6713022590 + (0.2184951156 * X2)))) + (0.6139330864 * X2))
17;nan;(((-0.2291385084) + ((((((0.0896003321 * X1) * (1.4416373968 * X1)) + (0.3823102713 * X2)) + ((-0.0141435992) * X1)) ^ exp(((-0.2763275504) * X2))) * exp((0.1183817014 * X2)))) * 3.0504574776)
3;2.4934432772724775;((3.7190175056 * X2) ^ 0.6399321556)
4;inf;(log(abs(((-7.5497078896) * X1))) + (0.7703855038 * X2))
2;12.057631698337131;exp((0.2165087461 * X2))
11;nan;(((((3.0784609318 * X1) * (0.1364975572 * X1)) * exp(((-0.3426546454) * X2))) + sqrt((13.5544357300 * X2))) + (-2.3872332573))
10;inf;(((((0.1729944944 * X1) * (2.0994572639 * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.7711994648 * X2))
8;inf;((((3.0784609318 * X1) * (0.1345806718 * X1)) * exp(((-0.2725436091) * X2))) + (1.1238536835 * X2))
6;inf;log(abs((((1.9666304588 * X1) * (4.5071253777 * X1)) + (35.8769264221 * X2))))
16;nan;(((0.8391372561 * X2) + (-1.0245776176)) + (((exp((log(abs((0.6924778223 * X1))) * 1.8737542629)) + ((-0.0437439978) * X1)) + (1.2045940161 * X2)) ^ exp(((-0.1247002855) * X2))))
15;nan;((((((((-0.0109901940) * X1) * ((-37.5862922668) * X1)) + (1.1633005142 * X2)) + ((-0.0440151840) * X1)) ^ exp(((-0.1262714714) * X2))) + (0.8292583227 * X2)) + log(abs(0.4147703350)))
12;nan;(((0.8292663097 * X2) + (-0.8800572157)) + ((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1262733340) * X2))))
9;inf;(sqrt((6.2326984406 * X2)) + (((1.5400243998 * X1) * (0.1684971005 * X1)) * exp(((-0.2880603671) * X2))))
5;inf;((0.9094204903 * X2) + ((3.7033092976 * X1) * (0.0572309531 * X1)))
14;inf;(((0.8292663097 * X2) + (-0.8800572157)) + (((((2.5460271835 * X1) * (0.1622467041 * X1)) + (1.1633131504 * X2)) + ((-0.0440105423) * X1)) ^ exp(((-0.1249003112) * X2))))
13;nan;(((((((-0.0140253566) * X1) * ((-29.4515762329) * X1)) + (1.1606981754 * X2)) ^ exp(((-0.1262714714) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
20;nan;(((-1.2919592857) + ((((((((-0.0045251139) * X1) * ((-34.0987167358) * X1)) + (0.4546811581 * X2)) + ((-0.0201339759) * X1)) ^ exp(((-0.2373016477) * X2))) + exp((0.0013848557 * X1))) * exp((0.0867772177 * X2)))) * 2.5842487812)
1;6.73473781548737;3.7626740932
19;inf;(((-0.2762299478) + ((((((0.0972206742 * X1) * (1.5642509460 * X1)) + (0.4551717937 * X2)) + ((-0.0166576877) * X1)) ^ exp(((-0.2730045319) * X2))) * exp((0.1889231205 * X2)))) * (2.6171841621 + ((-0.1240188852) * X2)))
18;nan;(((-0.7558573484) + ((((((5.5361618996 * X1) * (0.1024441123 * X1)) + (1.2972584963 * X2)) + ((-0.0615756288) * X1)) ^ exp(((-0.2081861943) * X2))) * ((0.2245032489 * X2) + 0.7052433491))) + (0.6048408747 * X2))
17;inf;(((-0.2291385084) + ((((((0.0896003321 * X1) * (1.4416373968 * X1)) + (0.3823102713 * X2)) + ((-0.0141435992) * X1)) ^ exp(((-0.2760373056) * X2))) * exp((0.1183817014 * X2)))) * 3.0504574776)
3;nan;((5.6268229485 * X2) ^ 0.5480743051)
4;inf;(log(abs((12.6498889923 * X1))) + (0.7692237496 * X2))
2;inf;exp((0.2168098837 * X2))
11;inf;(((((2.3373599052 * X1) * (0.1810045987 * X1)) * exp(((-0.3396329582) * X2))) + sqrt((13.5544357300 * X2))) + (-2.3872332573))
10;inf;((((((-0.0096498998) * X1) * ((-37.9011573792) * X1)) + (0.7071067691 * X2)) ^ exp(((-0.1263796091) * X2))) + (0.7812397480 * X2))
8;inf;((((2.3225119114 * X1) * (0.1782129556 * X1)) * exp(((-0.2679134011) * X2))) + (1.1238536835 * X2))
6;inf;log(abs((((1.5400243998 * X1) * (5.8656582832 * X1)) + (36.6115608215 * X2))))
16;inf;(((0.8391372561 * X2) + (-1.0245776176)) + (((exp((log(abs((0.6924778223 * X1))) * 1.8737542629)) + ((-0.0437439978) * X1)) + (1.2045940161 * X2)) ^ exp(((-0.1249003112) * X2))))
15;nan;(((((((1.4857467413 * X1) * (0.2777028084 * X1)) + (1.1633005142 * X2)) + ((-0.0440151840) * X1)) ^ exp(((-0.1262714714) * X2))) + (0.8288236856 * X2)) * log(abs(0.4158256948)))
12;inf;((((((1.4426950216 * X1) * (0.2867350876 * X1)) + (1.1606996059 * X2)) ^ exp(((-0.1264823973) * X2))) + (0.8288236856 * X2)) + (-0.8822721839))
9;nan;((((0.2293935418 * X1) * (1.1306450367 * X1)) * exp(((-0.2882490158) * X2))) + sqrt((6.2347302437 * X2)))
5;inf;((0.9094204903 * X2) + (((-0.0053803921) * X1) * ((-37.5862922668) * X1)))
14;nan;(((0.8292663097 * X2) + (-0.8800572157)) + (((((3.9312982559 * X1) * (0.1050748155 * X1)) + (1.1632953882 * X2)) + ((-0.0440105423) * X1)) ^ exp(((-0.1249003112) * X2))))
13;inf;((((((2.6552436352 * X1) * (0.1557947844 * X1)) + (1.1645971537 * X2)) ^ exp(((-0.1262733340) * X2))) + (0.8292583227 * X2)) + log(abs(0.4147703350)))
20;nan;(((-0.2519184351) + (((((((1.4985288382 * X1) * (0.0954792053 * X1)) * exp(((-0.0359420031) * X2))) + (0.4500818849 * X2)) + ((-0.0144046284) * X1)) ^ exp(((-0.2468839735) * X2))) * exp((0.1223700047 * X2)))) * 2.7812962532)
1;5.010497216755592;4.3459663391
19;nan;(((-0.2174344361) + ((((((1.7909665108 * X1) * (0.0773469806 * X1)) + ((0.4125289619 * X2) ^ 1.0668178797)) + ((-0.0151131880) * X1)) ^ exp(((-0.2710572481) * X2))) * exp((0.1226464212 * X2)))) * 2.8429737091)
18;nan;(((-0.7557069659) + (((((((-0.0134120556) * X1) * ((-41.3823356628) * X1)) + (1.2707669735 * X2)) + ((-0.0602612682) * X1)) ^ exp(((-0.2089326978) * X2))) * ((0.2269275486 * X2) + 0.7205935121))) + (0.6009863019 * X2))
17;nan;(((-0.2304554433) + ((((((0.1120445505 * X1) * (1.1523921490 * X1)) + (0.3825093806 * X2)) + ((-0.0141252186) * X1)) ^ exp(((-0.2786394358) * X2))) * exp((0.1189672202 * X2)))) * 3.0290009975)
3;2.512721244357806;((3.6368350983 * X2) ^ 0.6447340250)
4;inf;(log(abs(((-7.5497078896) * X1))) + (0.7675073743 * X2))
2;12.008194848081478;exp((0.2172153145 * X2))
11;nan;(((((2.3373599052 * X1) * (0.1810045987 * X1)) * exp(((-0.3460848927) * X2))) + sqrt((13.5544357300 * X2))) + (-2.3872332573))
