d,trial,status,raw_on_discovered_marg,discovered_on_discovered_marg,analytic_on_analytic_marg
2,0,ok,0.605257511138916,0.6784400939941406,0.6766231656074524
2,1,ok,0.6934495568275452,0.7193449139595032,0.62892746925354
2,2,ok,0.6656395196914673,0.6315013766288757,0.6065301299095154
2,3,ok,-1.3967214822769165,-1.3175216913223267,0.5066121816635132
2,4,ok,0.6404394507408142,0.6784175038337708,0.6574299335479736
2,5,ok,0.7063137292861938,0.7519422769546509,0.7325396537780762
2,6,ok,0.6951163411140442,0.7545945644378662,0.6826918125152588
2,7,ok,0.6634563207626343,0.6169970035552979,0.6293919086456299
2,8,ok,0.7393687963485718,0.8166850209236145,0.6204041242599487
2,9,ok,0.6381957530975342,0.6420543193817139,0.5902795791625977
3,0,ok,1.022127628326416,1.2682969570159912,0.8913506269454956
3,1,ok,1.0032861232757568,1.0397018194198608,0.9154605269432068
3,2,ok,0.8951130509376526,1.0435099601745605,0.9993566870689392
3,3,ok,0.9946305751800537,1.2770438194274902,1.0420206785202026
3,4,ok,0.8729391694068909,0.9216790199279785,0.9433197975158691
3,5,ok,0.9268690347671509,0.7612329721450806,0.8618281483650208
3,6,ok,0.9735673666000366,1.1181484460830688,1.0049165487289429
3,7,ok,1.0669819116592407,1.1935319900512695,0.8672157526016235
3,8,ok,0.7979120016098022,0.9884504079818726,0.9643031358718872
3,9,ok,0.9163093566894531,1.0546848773956299,0.9620482921600342
4,0,ok,0.9643399119377136,0.9140060544013977,1.1067792177200317
4,1,ok,1.0574097633361816,1.4125802516937256,1.139890432357788
4,2,ok,1.165692687034607,1.4884268045425415,1.4689419269561768
4,3,ok,0.9669409990310669,1.4434658288955688,1.1112982034683228
4,4,ok,0.9383833408355713,1.2135086059570312,1.0368452072143555
4,5,ok,0.9508599638938904,1.4813729524612427,1.0466923713684082
4,6,ok,1.0466536283493042,1.312758445739746,1.3210759162902832
4,7,ok,0.9497250914573669,1.3398205041885376,0.9883419871330261
4,8,ok,0.9849148392677307,1.5793713331222534,1.1845641136169434
4,9,ok,0.9432198405265808,1.150529146194458,1.1716506481170654
6,0,ok,0.79949551820755,1.3387656211853027,1.7714276313781738
6,1,ok,0.8442423939704895,1.8567147254943848,1.7961361408233643
6,2,ok,0.7500032186508179,1.7323389053344727,1.532761573791504
6,3,ok,0.877393364906311,1.2387603521347046,1.5952346324920654
6,4,ok,0.5411518216133118,1.356416940689087,1.6548298597335815
6,5,ok,0.7760538458824158,1.3021997213363647,1.8142956495285034
6,6,ok,0.8728057742118835,1.3860281705856323,1.6381173133850098
6,7,ok,0.5892646908760071,1.0089393854141235,1.3238766193389893
6,8,ok,0.7328816056251526,1.8436028957366943,1.2841675281524658
6,9,ok,0.7994055151939392,1.3567097187042236,1.419329047203064
8,0,failed,,,
8,1,ok,0.5485848784446716,1.4653021097183228,1.2594773769378662
8,2,ok,0.7626741528511047,1.2567906379699707,1.2144542932510376
8,3,failed,,,
8,4,ok,0.44693973660469055,1.345271110534668,1.6338366270065308
8,5,ok,0.5411643385887146,1.0418161153793335,1.5090125799179077
8,6,ok,0.6619638204574585,1.464812159538269,2.062540292739868
8,7,ok,0.673227071762085,1.261770248413086,1.3819019794464111
8,8,ok,0.16489581763744354,1.4468069076538086,1.5669974088668823
8,9,ok,0.5458144545555115,1.1550297737121582,1.2910641431808472
10,0,ok,0.23281776905059814,0.5409524440765381,1.1189510822296143
10,1,ok,0.4812253713607788,0.756638765335083,1.1846673488616943
10,2,ok,0.5175763964653015,1.1857911348342896,1.0338153839111328
10,3,ok,0.33085960149765015,1.6007014513015747,1.9875901937484741
10,4,ok,0.4453318119049072,1.3601467609405518,1.4825280904769897
10,5,ok,0.33818939328193665,0.574307382106781,1.3762271404266357
10,6,ok,0.18924640119075775,1.1664533615112305,1.982336401939392
10,7,ok,0.45133307576179504,0.8351410031318665,1.6192904710769653
10,8,ok,0.593603253364563,1.7818738222122192,1.2333860397338867
10,9,ok,0.4719483256340027,1.2635024785995483,1.219006061553955
12,0,ok,-0.14337009191513062,1.088777780532837,1.466217041015625
12,1,ok,-0.21250304579734802,1.3637417554855347,1.515989065170288
12,2,ok,-0.017137162387371063,1.350793719291687,1.9959222078323364
12,3,ok,-0.11011689156293869,1.2959949970245361,1.3063925504684448
12,4,ok,0.22676952183246613,1.5726921558380127,1.8562698364257812
12,6,ok,-0.11563491821289062,0.9159335494041443,1.2388464212417603
12,7,ok,-0.13770721852779388,1.1523922681808472,1.597562313079834
12,8,ok,0.12144316732883453,0.5580275058746338,1.4654834270477295
12,9,ok,-0.12749412655830383,1.1087212562561035,1.2323395013809204
