length;mse;model
5;0.029090578498728665;(0.023345 + (1.000280 * (1.431723 * X1)))
6;0.009401369568931206;(19.244631 + ((-19.065952) * exp(((-0.074675) * X1))))
7;0.009347618611837881;(38.376026 + ((-14.052138) * exp(exp(((-0.037228) * X1)))))
8;0.001846752035772758;(19.220608 + ((-19.040705) * exp((((-0.074675) * X1) + ((-0.002321) * X2)))))
9;0.0017960496949845353;(38.327919 + ((-14.033997) * exp(exp((((-0.037228) * X1) + ((-0.001141) * X2))))))
11;0.0016841719324906927;(37.645378 + ((-13.781949) * (exp(exp((((-0.000903) * X2) + ((-0.037885) * X1)))) + ((-0.001141) * X2))))
12;0.0016718323171241846;(0.175921 + (1.000894 * (exp(sqrt(exp(((-0.072825) * X1)))) * ((0.018387 * X2) + (0.521379 * X1)))))
13;0.0016276188255886317;(0.000000 + (0.999999 * (exp(exp(((-0.038174) * X1))) * ((0.523949 * X1) + (0.067393 + (0.018387 * X2))))))
14;0.0009981650967141474;((-0.000002) + (0.999999 * ((exp((0.108703 * X1)) + ((-0.149438) * X1)) * ((0.050317 * X2) + (0.181631 + (1.391545 * X1))))))
