length;mse;model
1;888.7067960444961;(1.4317231178 * X1)
9;117.6064844943435;(exp(exp(((-0.0381737091) * X1))) * ((0.5239489079 * X1) + (0.0673929378 + (0.0183869433 * X2))))
8;116.43247592354454;(exp(sqrt(exp(((-0.0728246123) * X1)))) * ((0.0183873847 * X2) + (0.5213791728 * X1)))
2;7.77545444299639;exp(((-0.0746747330) * X1))
7;14.655058297763397;(exp(exp((((-0.0009029063) * X2) + ((-0.0378852971) * X1)))) + ((-0.0011405044) * X2))
5;14.635731925400657;exp(exp((((-0.0372282229) * X1) + ((-0.0011405044) * X2))))
4;7.777357755289316;exp((((-0.0746747330) * X1) + ((-0.0023206710) * X2)))
3;14.632796110734445;exp(exp(((-0.0372282229) * X1)))
10;2.084303745143678e+65;((exp((0.1087025031 * X1)) + ((-0.1494375318) * X1)) * ((0.0503168516 * X2) + (0.1816306263 + (1.3915451765 * X1))))
1;5.970537872092602;(0.0923117325 * X2)
9;116.5240819252833;((exp(exp(((-0.0381791778) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1))) + 0.1832126975)
7;116.4321162008323;(exp(exp(((-0.0361561179) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1)))
5;14.635705589658196;exp(exp((((-0.0372282229) * X1) + ((-0.0011305843) * X2))))
4;7.777333405854424;exp((((-0.0746747330) * X1) + ((-0.0022915746) * X2)))
3;14.630447693847886;exp(exp(((-0.0371467136) * X1)))
2;7.763730925006977;exp(((-0.0734340549) * X1))
10;2021681.278752853;((exp(((-0.1116318479) * X1)) + (0.0740262866 * X1)) * ((0.0504000895 * X2) + (0.1778311878 + (1.3909436464 * X1))))
1;8.772282633801508;((-0.8454729915) * X2)
9;117.60648725636165;(exp(exp(((-0.0379079767) * X1))) * ((0.5239489079 * X1) + (0.0673929378 + (0.0183869433 * X2))))
7;14.683415441566893;(exp(exp((((-0.0009029063) * X2) + ((-0.0388625264) * X1)))) + ((-0.0011405044) * X2))
5;14.637689578885468;exp(exp((((-0.0372970328) * X1) + ((-0.0011305843) * X2))))
4;7.798897153240241;(exp(((-0.0769613832) * X1)) + ((-0.0022915746) * X2))
3;14.654478149190567;exp(exp(((-0.0379789695) * X1)))
2;7.761950738693118;exp(((-0.0732454211) * X1))
10;665.5548692968928;((exp(((-0.3147228956) * X1)) + 8.1052970886) * ((0.0055377833 * X2) + (0.0191396233 + (0.1529338509 * X1))))
1;8.620347866788007;((-0.8190558553) * X2)
9;116.52408448848854;((exp(exp(((-0.0379267745) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1))) + 0.1832126975)
7;14.683406891606598;(exp(exp((((-0.0009029063) * X2) + ((-0.0388625264) * X1)))) + ((-0.0011305843) * X2))
5;14.654719880510688;exp(exp((((-0.0378856547) * X1) + ((-0.0011405044) * X2))))
4;7.584479066397418;(exp(((-0.0539242923) * X1)) + ((-0.0022915746) * X2))
3;14.601996025271117;exp(exp(((-0.0361561179) * X1)))
2;7.78893644650161;exp(((-0.0760980919) * X1))
10;649.4196512834598;((exp(((-0.2901866436) * X1)) + 7.2181086540) * ((0.0061257104 * X2) + (0.0214039870 + (0.1696450114 * X1))))
1;6.567262077279994;0.6999138594
9;117.60648883544232;(exp(exp(((-0.0378343053) * X1))) * ((0.5239489079 * X1) + (0.0673929378 + (0.0183869433 * X2))))
7;116.43169708422444;(exp(exp(((-0.0358535573) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1)))
5;14.658081855072044;exp(exp((((-0.0380017981) * X1) + ((-0.0011405044) * X2))))
4;7.707050260555799;exp((((-0.0672980696) * X1) + ((-0.0011405044) * X2)))
3;14.593338285498382;exp(exp(((-0.0358535573) * X1)))
2;7.790709373472973;exp(((-0.0762849972) * X1))
10;642.5991680265369;((exp(((-0.2798460424) * X1)) + 6.8603110313) * ((0.0064035999 * X2) + (0.0224735849 + (0.1775567532 * X1))))
1;8.006939421517373;1.3656965494
9;116.52408649600599;((exp(exp(((-0.0378343053) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1))) + 0.1832126975)
7;14.683751043463882;(exp(exp((((-0.0011305843) * X2) + ((-0.0388625264) * X1)))) + ((-0.0008241935) * X2))
2;7.797130392654774;exp(((-0.0769613832) * X1))
6;14.618153416716476;exp((sqrt(exp(((-0.0732454211) * X1))) + ((-0.0011405044) * X2)))
5;14.604770119233063;exp((exp(((-0.0361561179) * X1)) + ((-0.0011405044) * X2)))
4;7.707042196170616;exp((((-0.0672980696) * X1) + ((-0.0011305843) * X2)))
3;14.68011672461414;exp(exp(((-0.0388625264) * X1)))
10;686.3712703795717;((exp(((-0.3589456379) * X1)) + 9.8440637589) * ((0.0046523539 * X2) + (0.0157296732 + (0.1278675050 * X1))))
1;6.5334316027198005;0.6769568324
9;116.52409714156951;((exp(exp(((-0.0375299007) * X1))) * ((0.0183873847 * X2) + (0.5213791728 * X1))) + 0.1832126975)
7;14.65485018987356;(exp(exp((((-0.0008241935) * X2) + ((-0.0378852971) * X1)))) + ((-0.0011405044) * X2))
5;14.632434201077551;exp((exp(((-0.0371191800) * X1)) + ((-0.0011405044) * X2)))
4;7.746551777964039;exp((((-0.0715129375) * X1) + ((-0.0011405044) * X2)))
3;14.580787973061087;exp(exp(((-0.0354140177) * X1)))
2;7.745629177861035;exp(((-0.0715129375) * X1))
10;631.3309011559355;((exp(((-0.2653654814) * X1)) + 6.3726654053) * ((0.0068213157 * X2) + (0.0240784120 + (0.1894671917 * X1))))
1;6.96592448346124;0.9307028055
