length;mse;model
5;1.953415586134542;(7.249588 + (1.000026 * (0.880910 * X1)))
6;1.953105225442992;(180.475235 + ((-173.206940) * exp(((-0.005086) * X1))))
8;0.2302746637449054;(7.271183 + ((-8.591290) * (exp(((-0.274037) * X2)) * ((-0.238070) * X1))))
9;0.2292345239525464;((-225.812241) + (233.065811 * exp(((0.008778 * X1) * exp(((-0.274037) * X2))))))
10;0.1855340034906608;(7.277728 + (1.112789 * (((-0.273244) * X1) * (log(abs(((-0.001035) * X1))) + (0.754176 * X2)))))
11;0.048807828448167924;(7.274004 + (1.000000 * (((-0.928400) * X1) * (log(abs(((-0.030720) * X1))) * exp(((-0.274900) * X2))))))
12;0.035327702261306305;(7.274478 + ((-2.554962) * (((-0.928400) * X1) * (log(abs(log(abs(((-0.025455) * X1))))) * exp(((-0.274900) * X2))))))
13;0.015606871618248402;(7.275461 + (1.000000 * (exp((((-0.023359) * X1) * (1.050562 * X1))) * ((2.921461 * X1) * exp(((-0.275489) * X2))))))
14;0.014543274587748069;(7.275564 + (1.000000 * ((((((-0.051782) * X1) * (0.734129 * X1)) * (1.370886 * X1)) + (2.828461 * X1)) * exp(((-0.275493) * X2)))))
15;0.008824474521410507;(7.273274 + (1.453819 * ((2.046386 * X1) * (exp(((-0.302517) * X2)) + (((-0.036367) * X1) * (exp(((-0.390824) * X2)) * (0.592186 * X1)))))))
16;0.008364416708850717;(7.273798 + (1.000000 * (((2.829275 * X1) * exp(((-0.373881) * X2))) * ((((-0.030062) * X1) * (0.734129 * X1)) + (1.030734 + (0.095882 * X2))))))
17;0.007582507670641739;(7.236029 + (339.342346 * ((0.008778 * X1) * (((0.007906 * X1) * ((((-2.732733) * X1) + (0.260919 * X2)) * exp(((-0.394169) * X2)))) + exp(((-0.303344) * X2))))))
18;0.005106564983534524;(7.272122 + (0.999395 * ((0.293347 * X1) + ((((((-0.057999) * X1) * (0.734129 * X1)) * (1.393795 * X1)) + (2.599529 * X1)) * (exp(((-0.282213) * X2)) + ((-0.022043) * X2))))))
17;0.004171606241606729;(7.271622 + ((((exp((0.952197 * X2)) + (((-1.258422) * X1) * (2.666616 * X1))) * (0.016555 * X1)) + (2.784939 * X1)) * (exp((0.135525 * X2)) + ((-0.366447) * X2))))
17;0.003975295157912707;((((((-0.031660) * X1) * (0.720225 * X1)) + exp((0.003323 * X1))) * ((2.600321 * X1) * (exp(((-0.282080) * X2)) + ((-0.022003) * X2)))) + (7.247358 + (0.291743 * X1)))
22;0.0026698860489234926;(7.235020 + (0.999994 * ((((exp((0.954542 * X2)) + ((((-8.907797) * X1) + exp((0.261868 * X2))) * (0.379064 * X1))) * (0.016451 * X1)) + (2.786300 * X1)) * (exp((0.135607 * X2)) + ((-0.366688) * X2)))))
24;0.002579886299320667;((-0.000001) + (1.000000 * (7.237741 + ((((exp((0.955080 * X2)) + ((((-11.010365) * X1) + log(abs((5.360057 * X2)))) * (0.309153 * X1))) * (0.016307 * X1)) + (2.785516 * X1)) * (exp((0.135475 * X2)) + ((-0.366342) * X2))))))
