length;mse;model
10;nan;(exp(((-0.2753113806) * X2)) * (((((-0.0505417101) * X1) * (0.7306964993 * X1)) * (1.3708856106 * X1)) + (2.8284614086 * X1)))
4;inf;(exp(((-0.2743588984) * X2)) * (2.0466647148 * X1))
3;47.453640048335956;sqrt(exp(((-0.0073548104) * X1)))
2;47.45047490458728;exp(((-0.0034543315) * X1))
13;inf;((0.0087775951 * X1) * (((0.0079055270 * X1) * ((((-2.7327327728) * X1) + (0.2609191537 * X2)) * exp(((-0.3941689134) * X2)))) + exp(((-0.3030254841) * X2))))
11;inf;((2.0463860035 * X1) * (exp(((-0.3033444881) * X2)) + (((-0.0363670923) * X1) * (exp(((-0.3908242583) * X2)) * (0.5921862125 * X1)))))
6;nan;(((-0.2735675573) * X1) * (log(abs(((-0.0009636218) * X1))) + (0.7552962303 * X2)))
17;nan;(7.2716226578 + ((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7849390507 * X1)) * (exp((0.1355252117 * X2)) + ((-0.3664472103) * X2))))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2)))
5;inf;exp(((0.0087775951 * X1) * exp(((-0.2701213360) * X2))))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2827813327) * X2)) + ((-0.0220190920) * X2))))
20;nan;(7.2350196838 + ((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2583293915 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3666882515) * X2))))
1;20.43840576241589;(1.4426950216 * X2)
12;inf;(((2.7861056328 * X1) * exp(((-0.3740162849) * X2))) * ((((-4.4002599716) * X1) * (0.0049544894 * X1)) + (1.0033153296 + (0.0933309942 * X2))))
18;nan;((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7859561443 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2)))
8;nan;((2.2006139755 * X1) * (log(abs(log(abs(((-0.0254548825) * X1))))) * exp(((-0.2794879973) * X2))))
7;nan;(((-0.8082255721) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2756676972) * X2))))
9;inf;((exp(((-0.2743588984) * X2)) * (2.0466647148 * X1)) * exp((((-0.0233585816) * X1) * (1.0505617857 * X1))))
10;nan;((((((-0.0517859384) * X1) * (0.7341285944 * X1)) * (1.4142135382 * X1)) + (2.8284614086 * X1)) * exp(((-0.2748995125) * X2)))
4;2.793355922288867e+72;(((-0.9283998013) * X1) * exp(((-0.2731730938) * X2)))
3;28.975026418067433;exp(exp(((-0.0016753450) * X1)))
2;47.44702819100402;exp(((-0.0032117500) * X1))
13;inf;((0.0087775951 * X1) * (((0.0068910639 * X1) * ((((-3.1301636696) * X1) + (0.3024113774 * X2)) * exp(((-0.3941689134) * X2)))) + exp(((-0.3030254841) * X2))))
11;inf;(((3.7591018677 * X1) * exp(((-0.3819231391) * X2))) * (exp((0.0821434408 * X2)) + (((-0.0277887378) * X1) * (0.7685834765 * X1))))
6;nan;(((-0.2665250301) * X1) * (log(abs(((-0.0010346028) * X1))) + (0.7732754946 * X2)))
17;nan;((((exp((0.9538245797 * X2)) + ((((-8.9077968597) * X1) + (0.0150981508 * X1)) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7859561443 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2)))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165226385 * X1)) + (2.7860922813 * X1)) * (exp((0.1356204748 * X2)) + ((-0.3667160869) * X2)))
